0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:32:17 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:32:17 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:32:20 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:32:20 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:32:23 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:32:23 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:32:35 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:32:35 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:33 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:33 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:35 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:35 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:38 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:38 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:43 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:43 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:45 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:45 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:47 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:47:47 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:58:28 +0200] "GET /favicon.ico HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:58:28 +0200] "GET /favicon.ico HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:06:51 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:06:51 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:06:53 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:06:53 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:06:55 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:06:55 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:06:58 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:06:58 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:07:00 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:07:00 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:07:02 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:07:02 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:09:02 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:09:10 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:09:16 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:08 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:08 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
